Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Población censada,Hombres,Mujeres,Razón hombre-mujer
4,Coquimbo,43.0,Limarí,4301.0,Ovalle,118696.0,57311.0,61385.0,93.4
4,Coquimbo,43.0,Limarí,4302.0,Combarbalá,12954.0,6305.0,6649.0,94.8
4,Coquimbo,43.0,Limarí,4303.0,Monte Patria,29997.0,14703.0,15294.0,96.1
4,Coquimbo,43.0,Limarí,4304.0,Punitaqui,12076.0,5975.0,6101.0,97.9
4,Coquimbo,43.0,Limarí,4305.0,Río Hurtado,4334.0,2153.0,2181.0,98.7
5,Valparaíso,51.0,Valparaíso,5101.0,Valparaíso,284938.0,138494.0,146444.0,94.6
5,Valparaíso,51.0,Valparaíso,5102.0,Casablanca,29876.0,14582.0,15294.0,95.3
5,Valparaíso,51.0,Valparaíso,5103.0,Concón,48294.0,23153.0,25141.0,92.1
5,Valparaíso,51.0,Valparaíso,5104.0,Juan Fernández,904.0,458.0,446.0,102.7
5,Valparaíso,51.0,Valparaíso,5105.0,Puchuncaví,22539.0,11156.0,11383.0,98.0
5,Valparaíso,51.0,Valparaíso,5107.0,Quintero,35754.0,17507.0,18247.0,95.9
5,Valparaíso,51.0,Valparaíso,5109.0,Viña del Mar,334871.0,158878.0,175993.0,90.3
5,Valparaíso,52.0,Isla de Pascua,5201.0,Isla de Pascua,4800.0,2351.0,2449.0,96.0
5,Valparaíso,53.0,Los Andes,5301.0,Los Andes,63440.0,30469.0,32971.0,92.4
5,Valparaíso,53.0,Los Andes,5302.0,Calle Larga,16597.0,8139.0,8458.0,96.2
5,Valparaíso,53.0,Los Andes,5303.0,Rinconada,11855.0,5851.0,6004.0,97.5
5,Valparaíso,53.0,Los Andes,5304.0,San Esteban,20112.0,9835.0,10277.0,95.7
5,Valparaíso,54.0,Petorca,5401.0,La Ligua,39270.0,19171.0,20099.0,95.4
5,Valparaíso,54.0,Petorca,5402.0,Cabildo,20015.0,9860.0,10155.0,97.1
5,Valparaíso,54.0,Petorca,5403.0,Papudo,7561.0,3766.0,3795.0,99.2
5,Valparaíso,54.0,Petorca,5404.0,Petorca,10206.0,5030.0,5176.0,97.2
5,Valparaíso,54.0,Petorca,5405.0,Zapallar,7980.0,3902.0,4078.0,95.7
5,Valparaíso,55.0,Quillota,5501.0,Quillota,96753.0,46621.0,50132.0,93.0
5,Valparaíso,55.0,Quillota,5502.0,Calera,50631.0,24513.0,26118.0,93.9
5,Valparaíso,55.0,Quillota,5503.0,Hijuelas,19286.0,9518.0,9768.0,97.4
5,Valparaíso,55.0,Quillota,5504.0,La Cruz,24939.0,11993.0,12946.0,92.6
5,Valparaíso,55.0,Quillota,5506.0,Nogales,22136.0,10849.0,11287.0,96.1
5,Valparaíso,56.0,San Antonio,5601.0,San Antonio,96770.0,46972.0,49798.0,94.3
5,Valparaíso,56.0,San Antonio,5602.0,Algarrobo,16076.0,7673.0,8403.0,91.3
5,Valparaíso,56.0,San Antonio,5603.0,Cartagena,24599.0,12043.0,12556.0,95.9
5,Valparaíso,56.0,San Antonio,5604.0,El Quisco,18971.0,9088.0,9883.0,92.0
5,Valparaíso,56.0,San Antonio,5605.0,El Tabo,16260.0,7915.0,8345.0,94.8
5,Valparaíso,56.0,San Antonio,5606.0,Santo Domingo,13171.0,6437.0,6734.0,95.6
5,Valparaíso,57.0,San Felipe de Aconcagua,5701.0,San Felipe,80413.0,38921.0,41492.0,93.8
5,Valparaíso,57.0,San Felipe de Aconcagua,5702.0,Catemu,13760.0,6728.0,7032.0,95.7
5,Valparaíso,57.0,San Felipe de Aconcagua,5703.0,Llaillay,25484.0,12538.0,12946.0,96.8
5,Valparaíso,57.0,San Felipe de Aconcagua,5704.0,Panquehue,7269.0,3582.0,3687.0,97.2
5,Valparaíso,57.0,San Felipe de Aconcagua,5705.0,Putaendo,17336.0,8531.0,8805.0,96.9
5,Valparaíso,57.0,San Felipe de Aconcagua,5706.0,Santa María,15134.0,7325.0,7809.0,93.8
5,Valparaíso,58.0,Marga Marga,5801.0,Quilpué,162559.0,77149.0,85410.0,90.3
5,Valparaíso,58.0,Marga Marga,5802.0,Limache,56145.0,27348.0,28797.0,95.0
5,Valparaíso,58.0,Marga Marga,5803.0,Olmué,19778.0,9668.0,10110.0,95.6
5,Valparaíso,58.0,Marga Marga,5804.0,Villa Alemana,139571.0,65629.0,73942.0,88.8
13,Metropolitana de Santiago,131.0,Santiago,13101.0,Santiago,438856.0,223237.0,215619.0,103.5
13,Metropolitana de Santiago,131.0,Santiago,13102.0,Cerrillos,85041.0,41216.0,43825.0,94.0
13,Metropolitana de Santiago,131.0,Santiago,13103.0,Cerro Navia,127250.0,62329.0,64921.0,96.0
13,Metropolitana de Santiago,131.0,Santiago,13104.0,Conchalí,121587.0,59122.0,62465.0,94.6
13,Metropolitana de Santiago,131.0,Santiago,13105.0,El Bosque,155257.0,75720.0,79537.0,95.2
