Código,Región,Nombre comuna,Número de personas según proyecciones de población (*),Número de personas en situación de pobreza por ingresos (**),Porcentaje de personas en situación de pobreza por ingresos 2022,Límite inferior (***),Límite superior,Presencia de la comuna en la muestra Casen,Tipo de estimación SAE (****)
5301,Valparaíso,Los Andes,68637.0,5579.0,0.0812767492126049,0.05330856229228254,0.1092449361329273,Sí,Directa y Sintética (Fay-Herriot)
5302,Valparaíso,Calle Larga,17225.0,1205.0,0.06996361770481122,0.02726003172174456,0.1126672036878779,Sí,Sintética
5303,Valparaíso,Rinconada,11739.0,953.0,0.08114642811420583,0.04981309042800197,0.1124797658004097,Sí,Directa y Sintética (Fay-Herriot)
5304,Valparaíso,San Esteban,21340.0,1808.0,0.08472797179083451,0.03992745354114592,0.1295284900405231,Sí,Sintética
5401,Valparaíso,La Ligua,38178.0,3121.0,0.0817521029546143,0.04315756387858199,0.1203466420306466,Sí,Directa y Sintética (Fay-Herriot)
5402,Valparaíso,Cabildo,20747.0,1853.0,0.089311136082706,0.05120575598052653,0.1274165161848854,Sí,Directa y Sintética (Fay-Herriot)
5403,Valparaíso,Papudo,6357.0,461.0,0.07253834912471409,0.03068154754790338,0.1143951507015248,Sí,Sintética
5404,Valparaíso,Petorca,10606.0,481.0,0.04537729044804171,0.0,0.09219904660037373,Sí,Sintética
5405,Valparaíso,Zapallar,8234.0,355.0,0.04306437608327314,0.02356423073951546,0.06256452142703081,Sí,Directa y Sintética (Fay-Herriot)
5501,Valparaíso,Quillota,99694.0,5282.0,0.05297922431878745,0.02629017598105831,0.07966827265651659,Sí,Directa y Sintética (Fay-Herriot)
5502,Valparaíso,Calera,53820.0,3817.0,0.07091313623489373,0.04202400140385032,0.09980227106593714,Sí,Directa y Sintética (Fay-Herriot)
5503,Valparaíso,Hijuelas,19342.0,1757.0,0.09084773723802529,0.05224880989667868,0.1294466645793719,Sí,Directa y Sintética (Fay-Herriot)
5504,Valparaíso,La Cruz,26916.0,854.0,0.03173284322544457,0.009524397684138416,0.05394128876675072,Sí,Directa y Sintética (Fay-Herriot)
5506,Valparaíso,Nogales,23603.0,1313.0,0.05562038074395192,0.008004656527356421,0.1032361049605474,Sí,Sintética
5601,Valparaíso,San Antonio,97919.0,6493.0,0.06631099529915913,0.03767822289407891,0.09494376770423935,Sí,Directa y Sintética (Fay-Herriot)
5602,Valparaíso,Algarrobo,15724.0,953.0,0.06063867952141082,0.03171937574877912,0.08955798329404252,Sí,Directa y Sintética (Fay-Herriot)
5603,Valparaíso,Cartagena,26416.0,1961.0,0.0742176240862708,0.0384539936977536,0.109981254474788,Sí,Directa y Sintética (Fay-Herriot)
5604,Valparaíso,El Quisco,18432.0,1651.0,0.08955603465692674,0.04854230128662518,0.1305697680272283,Sí,Directa y Sintética (Fay-Herriot)
5605,Valparaíso,El Tabo,14888.0,493.0,0.03309025582593765,0.005162496143078864,0.06101801550879644,Sí,Directa y Sintética (Fay-Herriot)
5606,Valparaíso,Santo Domingo,12364.0,739.0,0.05978177660742861,0.02153911519307496,0.09802443802178226,Sí,Sintética
